0.02,-0.03,-0.05,0,0.02
0.02,-0.03,-0.03,-0.03,0.02
0,0,-0.03,0,0
0.02,-0.03,-0.03,0,0
0.02,-0.03,-0.07,0,0.02
0,-0.03,-0.03,0,0
0.04,-0.03,0,0,0.02
0.04,0,-0.03,0.02,0
0.02,-0.03,-0.03,0,0.02
0.02,-0.03,0,0,-0.03
0.02,0,-0.03,-0.03,0
0,-0.03,-0.03,0.02,0
0.02,0,0,0,0
0,0,-0.03,0,0
0,-0.03,-0.03,-0.03,0.02
0.02,0.02,-0.03,0,0
0.02,0.02,0,0,0
0,-0.03,-0.03,0,0
0.02,0,-0.03,-0.03,0
0.02,0.02,-0.03,0.02,0.02
0,0,-0.03,0,0.02
0.04,0,0,-0.03,0
0.02,-0.03,0,0,0
0.02,-0.03,-0.03,0.02,0.02
0.04,0.04,0.02,0,0
-0.03,0.04,0,0,0
0.02,0.02,0,-0.03,0.02
0.02,0.02,0.02,0.02,0.02
0,0.02,0.02,0,0.02
0,0.02,0.02,0,0.02
0,0.02,0.02,0,0.02
0,0.02,0.02,0,0
0.02,0.02,0,0,-0.03
0,0.02,0.04,0.02,0.06
0,-0.19,0,-0.09,0.06
-0.24,-0.38,-0.4,-0.49,-0.53
-0.4,-0.22,-0.28,-0.24,-0.24
-0.22,-0.17,-0.19,-0.19,-0.19
-0.17,-0.19,-0.19,-0.22,-0.17
-0.19,-0.24,-0.22,-0.26,-0.22
-0.22,-0.19,-0.22,-0.22,-0.19
-0.24,-0.17,-0.22,-0.19,-0.19
-0.22,-0.13,-0.15,-0.17,-0.17
-0.19,-0.09,-0.11,-0.09,-0.13
-0.09,0,-0.05,0,-0.03
0,0.02,0.04,0.02,0.02
0,0.02,0.02,0.02,0.04
0.06,0.02,0.02,0,0.02
0,-0.03,0.04,-0.03,-0.03
-0.03,0.02,0.02,0,0
0,-0.3,0.06,-0.24,-0.15
-0.36,-0.22,-0.45,-0.3,-0.4
-0.28,0.18,-0.07,0.06,-0.03
0.04,0.63,0.37,0.54,0.37
0.37,1.03,0.79,0.94,0.82
0.79,0.98,1.03,0.96,1.01
1.03,0.65,0.82,0.63,0.79
0.82,0.23,0.46,0.23,0.46
0.39,-0.07,0.12,-0.05,0.12
0.12,-0.24,-0.13,-0.22,-0.13
-0.13,-0.36,-0.26,-0.36,-0.28
-0.24,-0.4,-0.36,-0.4,-0.36
-0.36,-0.45,-0.4,-0.4,-0.4
-0.38,-0.47,-0.4,-0.45,-0.38
-0.4,-0.4,-0.4,-0.43,-0.43
-0.36,-0.32,-0.36,-0.36,-0.38
-0.34,-0.24,-0.26,-0.28,-0.3
-0.3,-0.15,-0.17,-0.17,-0.24
-0.19,-0.09,-0.11,-0.09,-0.15
-0.15,0,0.02,-0.03,-0.05
-0.05,0.08,0.08,0.1,0.06
0.04,0.1,0.12,0.14,0.12
0.1,0.16,0.18,0.16,0.23
0.14,0.18,0.23,0.18,0.23
0.16,0.14,0.21,0.14,0.18
0.14,0.1,0.14,0.1,0.1
0.1,0.14,0.14,0.1,0.08
0.06,0.1,0.1,0.06,0.08
0.08,0.08,0.1,0.06,0.06
0.06,0.06,0.1,0.06,0.02
0.08,0.08,0.08,0.04,0.02
0.04,0.04,0.08,0.06,0.04
0.04,0.04,0.08,0.04,0.04
0.04,0.06,0.08,0.04,0.02
0.02,0.06,0.08,0.06,0.04
0.04,0.06,0.08,0.04,0.02
0.06,0.08,0.1,0.06,0.02
0.06,0.06,0.08,0.06,0.06
0.06,0.08,0.1,0.06,0.04
0.06,0.08,0.08,0.06,0.06
0.06,0.08,0.08,0.06,0.08
0.04,0.08,0.08,0.06,0.06
0.08,0.04,0.08,0.06,0.06
0.06,0.06,0.06,0.04,0.04
0.06,0.04,0.08,0.08,0.06
0.06,0.04,0.08,0.04,0.06
0.04,0.04,0.12,0.04,0.04
0.04,0.02,0.08,0.06,0.04
0.04,0.04,0.02,0.06,0.04
0.04,0.02,0.06,0.06,0.04
0.04,0.04,0.06,0.06,0.04
0.04,0.04,0.04,0.04,0.04
0.04,0.02,0.06,0.06,0.06
0.04,0.04,0.06,0.06,0.06
0.04,0.02,0.02,0.06,0.04
0.04,0.04,0.06,0.06,0.02
0.02,0.04,0.06,0.04,0.04
0.06,0.04,0.06,0.06,0.04
0.02,0.04,0.08,0.02,0.04
0.04,0.04,0.06,0.04,0
0,0,0.02,0.04,0.02
0.02,0.02,0.04,0.02,0.02
0.02,0,0.04,0.04,0.02
0.02,0.02,0.04,0.04,-0.03
0.04,0,0.04,0.06,0.02
0.02,0.02,0.02,0.02,0.02
0.04,0.02,0.04,0.02,0
0.04,0.02,0.02,0.02,0.02
0,0.02,0.02,0.04,0
0.04,0.02,0.04,0.04,0.02
0.06,0.02,0.02,0.04,0.02
0,0.02,0.02,0.04,0.02
0.04,0,0.02,0.02,0
0.02,0,0.02,0.02,0.02
0,0.02,0,0.04,0.02
0.04,0,0.02,0.04,0.02
0.02,0,0.04,0.02,0
