0.04,0.06,0.04,0.04,0.06,0.06,0.06,0.08,0.04,0.08,0.056
0.08,0.06,0.02,0.04,0.02,0.08,0.04,0.08,0.04,0.06,0.052
0.06,0.06,0.06,0.08,0.04,0.06,0.04,0.06,0.06,0.04,0.056
0.04,0.06,0.02,0.06,0.06,0.06,0.08,0.08,0.04,0.06,0.056
0.06,0.06,0.04,0.04,0.04,0.04,0.06,0.08,0.04,0.04,0.05
-0.05,0.06,0.02,0.06,0.06,0.06,0.04,0.04,0.04,0.02,0.035
0,0.08,0.06,0.04,0.06,0.04,0.08,0.06,0.04,0.04,0.05
0.02,0.06,0.04,-0.03,0.04,0,0.04,0.04,0.04,0.06,0.031
0,0.04,0.04,0,0,0,0.02,0.04,0.06,-0.03,0.017
0.02,-0.03,0,0.04,-0.03,0.02,0,0,0.06,0.02,0.01
0.02,0,-0.03,0.02,0,0,0.02,0.02,0.06,0.02,0.013
0.02,-0.03,0,0,0.02,0,0.02,0.04,0.04,0.04,0.015
0,0.02,0.02,0,0.02,0.02,0.04,0.04,0.04,0.04,0.024
0.04,0.02,0.02,0,0.02,0,0.02,0,0.04,0.02,0.018
0.04,0.02,0,-0.03,0,0,0.02,0,0.04,-0.03,0.006
0.1,0,0,0.02,0.02,0,0.02,0.02,0.06,-0.03,0.021
0.16,0,0.02,0.04,0,0.04,0,0,0.04,-0.03,0.027
0.21,0,0,0.1,0.02,0.06,0,0,0.06,0.04,0.049
0.21,0.04,0,0.12,0.04,0.16,0.06,0.06,0.08,0.08,0.085
0.21,0.08,0.06,0.18,0.08,0.16,0.08,0.12,0.06,0.16,0.119
0.18,0.14,0.1,0.21,0.16,0.18,0.12,0.14,0.06,0.14,0.143
0.14,0.18,0.14,0.21,0.18,0.21,0.21,0.18,0.06,0.21,0.172
0.12,0.21,0.18,0.14,0.18,0.18,0.18,0.18,-0.05,0.16,0.148
0.08,0.18,0.18,0.16,0.18,0.14,0.18,0.16,-0.03,0.18,0.141
0.08,0.16,0.18,0.12,0.16,0.16,0.18,0.18,0.02,0.14,0.138
0.04,0.14,0.14,0.06,0.12,0.1,0.16,0.12,0.04,0.1,0.102
0.04,0.1,0.08,0.06,0.08,0.06,0.1,0.08,0,0.08,0.068
0.02,0.06,0.1,0.06,0.06,0.06,0.08,0.08,0.02,0.1,0.064
0.02,0.04,0.06,0.04,0.04,0.04,0.04,0.1,0.02,0.04,0.044
0.04,0.04,0.02,0.04,0.06,0.02,0.02,0.04,0.02,0.02,0.032
0.02,0.02,0.04,0.02,0.02,0.06,0.04,0.06,0.02,0.04,0.034
0.04,0.02,0,0.04,0.02,0.02,0.04,0.04,0.02,0.04,0.028
0.02,0.02,0.04,0.04,0.04,0,0.02,0.04,0.08,0.02,0.032
0.02,0.02,0.04,0,0.02,0.06,0.04,0.04,0.12,0.04,0.04
0.02,0,0.02,0,0.02,0.04,0.02,0.04,0.18,0.02,0.036
0.04,0,0.02,0.06,0.04,0.04,0,0.02,0.18,0.02,0.042
0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.18,0.04,0.042
0.06,0.02,0.02,0.02,-0.03,0.04,0.06,0.02,0.16,0.04,0.041
0.02,0.04,0,0.06,0.02,0,0.06,0.04,0.14,0,0.038
0.04,0.02,0.02,0.04,0.04,0.06,0.04,0.06,0.1,0.02,0.044
0.04,0.04,0,0.04,0.02,0.04,0.02,0.04,0.08,0.04,0.036
0.06,0.02,0.04,0.04,0.04,0,0,0.04,0.06,0.02,0.032
0.04,0.04,0.04,0.04,0.06,0.06,0.04,0.08,0.06,0.06,0.052
0.06,0.04,0.02,0.04,0.02,0.04,0.06,0.08,0.04,0.04,0.044
0.04,0.04,0.04,0.06,0.04,0.04,0.02,0.04,0.02,0.02,0.036
0.06,0.04,0.06,0.04,0.02,0.06,0.04,0.06,0,0.04,0.042
0.04,0.04,0.02,0.04,0.04,0.06,0.04,0.06,0,0.04,0.038
0.06,0.04,0.06,0.06,0.06,0.04,0.02,0.02,-0.03,0.02,0.035
0.06,0.04,0.04,0.04,0.08,0.06,0.06,0.08,0.04,0.08,0.058
